Id(int)	宠物(int)	阶数(int)	需要钻石数(int)	需要金币数(int)	需要碎片数(int)	需要骨头数(int)	需要的货币类型(int)（0=金币 1=钻石）
3013	3	13	0	2100	0	3	0
3014	3	14	0	2200	0	3	0
3015	3	15	0	2300	0	3	0
3016	3	16	0	2400	0	3	0
3017	3	17	0	2500	0	4	0
3018	3	18	0	2600	0	4	0
3019	3	19	0	2700	0	4	0
3020	3	20	0	2800	0	4	0
3021	3	21	0	2900	0	4	0
3022	3	22	0	3000	0	5	0
3023	3	23	0	3100	0	5	0
3024	3	24	0	3200	0	5	0
3025	3	25	0	3300	0	5	0
3026	3	26	0	3400	0	5	0
3027	3	27	0	3500	0	6	0
3028	3	28	0	3600	0	6	0
3029	3	29	0	3700	0	6	0
3030	3	30	0	3800	0	6	0
3031	3	31	0	3900	0	6	0
3032	3	32	0	4000	0	7	0
3033	3	33	0	4100	0	7	0
3034	3	34	0	4200	0	7	0
3035	3	35	0	4300	0	7	0
3036	3	36	0	4400	0	7	0
3037	3	37	0	4500	0	8	0
3038	3	38	0	4600	0	8	0
3039	3	39	0	4700	0	8	0
3040	3	40	0	4800	0	8	0
3041	3	41	0	4900	0	8	0
3042	3	42	0	5000	0	9	0
3043	3	43	0	5100	0	9	0
3044	3	44	0	5200	0	9	0
3045	3	45	0	5300	0	9	0
3046	3	46	0	5400	0	9	0
3047	3	47	0	5500	0	10	0
3048	3	48	0	5600	0	10	0
3049	3	49	0	5700	0	10	0
3050	3	50	0	5800	0	10	0
3051	3	51	0	5900	0	10	0
3052	3	52	0	6000	0	11	0
3053	3	53	0	6100	0	11	0
3054	3	54	0	6200	0	11	0
3055	3	55	0	6300	0	11	0
3056	3	56	0	6400	0	11	0
3057	3	57	0	6500	0	12	0
3058	3	58	0	6600	0	12	0
3059	3	59	0	6700	0	12	0
3060	3	60	0	6800	0	12	0
3061	3	61	20	0	0	12	1
3062	3	62	20	0	0	13	1
3063	3	63	20	0	0	13	1
3064	3	64	20	0	0	13	1
3065	3	65	20	0	0	13	1
3066	3	66	20	0	0	13	1
3067	3	67	20	0	0	14	1
3068	3	68	20	0	0	14	1
3069	3	69	20	0	0	14	1
3070	3	70	20	0	0	14	1
3071	3	71	20	0	0	14	1
3072	3	72	20	0	0	15	1
3073	3	73	20	0	0	15	1
3074	3	74	20	0	0	15	1
3075	3	75	20	0	0	15	1
3076	3	76	20	0	0	15	1
3077	3	77	20	0	0	16	1
3078	3	78	20	0	0	16	1
3079	3	79	20	0	0	16	1
3080	3	80	20	0	0	16	1
3081	3	81	20	0	0	16	1
3082	3	82	20	0	0	17	1
3083	3	83	20	0	0	17	1
3084	3	84	20	0	0	17	1
3085	3	85	20	0	0	17	1
3086	3	86	20	0	0	17	1
3087	3	87	20	0	0	18	1
3088	3	88	20	0	0	18	1
3089	3	89	20	0	0	18	1
3090	3	90	20	0	0	18	1
4001	4	1	0	0	0	0	0
4002	4	2	0	1000	0	1	0
4003	4	3	0	1100	0	1	0
4004	4	4	0	1200	0	1	0
4005	4	5	0	1300	0	1	0
4006	4	6	0	1400	0	1	0
4007	4	7	0	1500	0	2	0
4008	4	8	0	1600	0	2	0
4009	4	9	0	1700	0	2	0
4010	4	10	0	1800	0	2	0
4011	4	11	0	1900	0	2	0
4012	4	12	0	2000	0	3	0
4013	4	13	0	2100	0	3	0
4014	4	14	0	2200	0	3	0
4015	4	15	0	2300	0	3	0
4016	4	16	0	2400	0	3	0
4017	4	17	0	2500	0	4	0
4018	4	18	0	2600	0	4	0
4019	4	19	0	2700	0	4	0
4020	4	20	0	2800	0	4	0
4021	4	21	0	2900	0	4	0
4022	4	22	0	3000	0	5	0
4023	4	23	0	3100	0	5	0
4024	4	24	0	3200	0	5	0
4025	4	25	0	3300	0	5	0
4026	4	26	0	3400	0	5	0
4027	4	27	0	3500	0	6	0
4028	4	28	0	3600	0	6	0
4029	4	29	0	3700	0	6	0
4030	4	30	0	3800	0	6	0
4031	4	31	0	3900	0	6	0
4032	4	32	0	4000	0	7	0
4033	4	33	0	4100	0	7	0
4034	4	34	0	4200	0	7	0
4035	4	35	0	4300	0	7	0
4036	4	36	0	4400	0	7	0
4037	4	37	0	4500	0	8	0
4038	4	38	0	4600	0	8	0
4039	4	39	0	4700	0	8	0
4040	4	40	0	4800	0	8	0
4041	4	41	0	4900	0	8	0
4042	4	42	0	5000	0	9	0
4043	4	43	0	5100	0	9	0
4044	4	44	0	5200	0	9	0
4045	4	45	0	5300	0	9	0
4046	4	46	0	5400	0	9	0
4047	4	47	0	5500	0	10	0
4048	4	48	0	5600	0	10	0
4049	4	49	0	5700	0	10	0
4050	4	50	0	5800	0	10	0
4051	4	51	0	5900	0	10	0
4052	4	52	0	6000	0	11	0
4053	4	53	0	6100	0	11	0
4054	4	54	0	6200	0	11	0
4055	4	55	0	6300	0	11	0
4056	4	56	0	6400	0	11	0
4057	4	57	0	6500	0	12	0
4058	4	58	0	6600	0	12	0
4059	4	59	0	6700	0	12	0
4060	4	60	0	6800	0	12	0
4061	4	61	20	0	0	12	1
4062	4	62	20	0	0	13	1
4063	4	63	20	0	0	13	1
4064	4	64	20	0	0	13	1
4065	4	65	20	0	0	13	1
4066	4	66	20	0	0	13	1
4067	4	67	20	0	0	14	1
4068	4	68	20	0	0	14	1
4069	4	69	20	0	0	14	1
4070	4	70	20	0	0	14	1
4071	4	71	20	0	0	14	1
4072	4	72	20	0	0	15	1
4073	4	73	20	0	0	15	1
4074	4	74	20	0	0	15	1
4075	4	75	20	0	0	15	1
4076	4	76	20	0	0	15	1
4077	4	77	20	0	0	16	1
4078	4	78	20	0	0	16	1
4079	4	79	20	0	0	16	1
4080	4	80	20	0	0	16	1
4081	4	81	20	0	0	16	1
4082	4	82	20	0	0	17	1
4083	4	83	20	0	0	17	1
4084	4	84	20	0	0	17	1
4085	4	85	20	0	0	17	1
4086	4	86	20	0	0	17	1
4087	4	87	20	0	0	18	1
4088	4	88	20	0	0	18	1
4089	4	89	20	0	0	18	1
4090	4	90	20	0	0	18	1
5001	5	1	0	0	0	0	0
5002	5	2	0	1000	2	1	0
5003	5	3	0	1100	2	1	0
5004	5	4	0	1200	2	1	0
5005	5	5	0	1300	2	1	0
5006	5	6	0	1400	2	1	0
5007	5	7	0	1500	2	2	0
5008	5	8	0	1600	2	2	0
5009	5	9	0	1700	2	2	0
5010	5	10	0	1800	2	2	0
5011	5	11	0	1900	2	2	0
5012	5	12	0	2000	4	3	0
5013	5	13	0	2100	4	3	0
5014	5	14	0	2200	4	3	0
5015	5	15	0	2300	4	3	0
5016	5	16	0	2400	4	3	0
5017	5	17	0	2500	4	4	0
5018	5	18	0	2600	4	4	0
5019	5	19	0	2700	4	4	0
5020	5	20	0	2800	4	4	0
5021	5	21	0	2900	4	4	0
5022	5	22	0	3000	6	5	0
5023	5	23	0	3100	6	5	0
5024	5	24	0	3200	6	5	0
5025	5	25	0	3300	6	5	0
5026	5	26	0	3400	6	5	0
5027	5	27	0	3500	6	6	0
5028	5	28	0	3600	6	6	0
5029	5	29	0	3700	6	6	0
5030	5	30	0	3800	6	6	0
5031	5	31	0	3900	6	6	0
5032	5	32	0	4000	8	7	0
5033	5	33	0	4100	8	7	0
5034	5	34	0	4200	8	7	0
5035	5	35	0	4300	8	7	0
5036	5	36	0	4400	8	7	0
5037	5	37	0	4500	8	8	0
5038	5	38	0	4600	8	8	0
5039	5	39	0	4700	8	8	0
5040	5	40	0	4800	8	8	0
5041	5	41	0	4900	8	8	0
5042	5	42	0	5000	10	9	0
5043	5	43	0	5100	10	9	0
5044	5	44	0	5200	10	9	0
5045	5	45	0	5300	10	9	0
5046	5	46	0	5400	10	9	0
5047	5	47	0	5500	10	10	0
5048	5	48	0	5600	10	10	0
5049	5	49	0	5700	10	10	0
5050	5	50	0	5800	10	10	0
5051	5	51	0	5900	10	10	0
5052	5	52	0	6000	12	11	0
5053	5	53	0	6100	12	11	0
5054	5	54	0	6200	12	11	0
5055	5	55	0	6300	12	11	0
5056	5	56	0	6400	12	11	0
5057	5	57	0	6500	12	12	0
5058	5	58	0	6600	12	12	0
5059	5	59	0	6700	12	12	0
5060	5	60	0	6800	12	12	0
5061	5	61	20	0	12	12	1
5062	5	62	20	0	14	13	1
5063	5	63	20	0	14	13	1
5064	5	64	20	0	14	13	1
5065	5	65	20	0	14	13	1
5066	5	66	20	0	14	13	1
5067	5	67	20	0	14	14	1
5068	5	68	20	0	14	14	1
5069	5	69	20	0	14	14	1
5070	5	70	20	0	14	14	1
5071	5	71	20	0	14	14	1
5072	5	72	20	0	16	15	1
5073	5	73	20	0	16	15	1
5074	5	74	20	0	16	15	1
5075	5	75	20	0	16	15	1
5076	5	76	20	0	16	15	1
5077	5	77	20	0	16	16	1
5078	5	78	20	0	16	16	1
5079	5	79	20	0	16	16	1
5080	5	80	20	0	16	16	1
5081	5	81	20	0	16	16	1
5082	5	82	20	0	18	17	1
5083	5	83	20	0	18	17	1
5084	5	84	20	0	18	17	1
5085	5	85	20	0	18	17	1
5086	5	86	20	0	18	17	1
5087	5	87	20	0	18	18	1
5088	5	88	20	0	18	18	1
5089	5	89	20	0	18	18	1
5090	5	90	20	0	18	18	1
5091	5	91	20	0	18	18	1
5092	5	92	20	0	20	19	1
5093	5	93	20	0	20	19	1
5094	5	94	20	0	20	19	1
5095	5	95	20	0	20	19	1
5096	5	96	20	0	20	19	1
5097	5	97	20	0	20	20	1
5098	5	98	20	0	20	20	1
5099	5	99	20	0	20	20	1
5100	5	100	20	0	20	20	1
6001	6	1	0	0	0	0	0
6002	6	2	0	1000	2	1	0
6003	6	3	0	1100	2	1	0
6004	6	4	0	1200	2	1	0
6005	6	5	0	1300	2	1	0
6006	6	6	0	1400	2	1	0
6007	6	7	0	1500	2	2	0
6008	6	8	0	1600	2	2	0
6009	6	9	0	1700	2	2	0
6010	6	10	0	1800	2	2	0
6011	6	11	0	1900	2	2	0
6012	6	12	0	2000	4	3	0
6013	6	13	0	2100	4	3	0
6014	6	14	0	2200	4	3	0
6015	6	15	0	2300	4	3	0
6016	6	16	0	2400	4	3	0
6017	6	17	0	2500	4	4	0
6018	6	18	0	2600	4	4	0
6019	6	19	0	2700	4	4	0
6020	6	20	0	2800	4	4	0
6021	6	21	0	2900	4	4	0
6022	6	22	0	3000	6	5	0
6023	6	23	0	3100	6	5	0
6024	6	24	0	3200	6	5	0
6025	6	25	0	3300	6	5	0
6026	6	26	0	3400	6	5	0
6027	6	27	0	3500	6	6	0
6028	6	28	0	3600	6	6	0
6029	6	29	0	3700	6	6	0
6030	6	30	0	3800	6	6	0
6031	6	31	0	3900	6	6	0
6032	6	32	0	4000	8	7	0
6033	6	33	0	4100	8	7	0
6034	6	34	0	4200	8	7	0
6035	6	35	0	4300	8	7	0
6036	6	36	0	4400	8	7	0
6037	6	37	0	4500	8	8	0
6038	6	38	0	4600	8	8	0
6039	6	39	0	4700	8	8	0
6040	6	40	0	4800	8	8	0
6041	6	41	0	4900	8	8	0
6042	6	42	0	5000	10	9	0
6043	6	43	0	5100	10	9	0
6044	6	44	0	5200	10	9	0
6045	6	45	0	5300	10	9	0
6046	6	46	0	5400	10	9	0
6047	6	47	0	5500	10	10	0
6048	6	48	0	5600	10	10	0
6049	6	49	0	5700	10	10	0
6050	6	50	0	5800	10	10	0
6051	6	51	0	5900	10	10	0
6052	6	52	0	6000	12	11	0
6053	6	53	0	6100	12	11	0
6054	6	54	0	6200	12	11	0
6055	6	55	0	6300	12	11	0
6056	6	56	0	6400	12	11	0
6057	6	57	0	6500	12	12	0
6058	6	58	0	6600	12	12	0
6059	6	59	0	6700	12	12	0
6060	6	60	0	6800	12	12	0
6061	6	61	20	0	12	12	1
6062	6	62	20	0	14	13	1
6063	6	63	20	0	14	13	1
6064	6	64	20	0	14	13	1
6065	6	65	20	0	14	13	1
6066	6	66	20	0	14	13	1
6067	6	67	20	0	14	14	1
6068	6	68	20	0	14	14	1
6069	6	69	20	0	14	14	1
6070	6	70	20	0	14	14	1
6071	6	71	20	0	14	14	1
6072	6	72	20	0	16	15	1
6073	6	73	20	0	16	15	1
6074	6	74	20	0	16	15	1
6075	6	75	20	0	16	15	1
6076	6	76	20	0	16	15	1
6077	6	77	20	0	16	16	1
6078	6	78	20	0	16	16	1
6079	6	79	20	0	16	16	1
6080	6	80	20	0	16	16	1
6081	6	81	20	0	16	16	1
6082	6	82	20	0	18	17	1
6083	6	83	20	0	18	17	1
6084	6	84	20	0	18	17	1
6085	6	85	20	0	18	17	1
6086	6	86	20	0	18	17	1
6087	6	87	20	0	18	18	1
6088	6	88	20	0	18	18	1
6089	6	89	20	0	18	18	1
6090	6	90	20	0	18	18	1
6091	6	91	20	0	18	18	1
6092	6	92	20	0	20	19	1
6093	6	93	20	0	20	19	1
6094	6	94	20	0	20	19	1
6095	6	95	20	0	20	19	1
6096	6	96	20	0	20	19	1
6097	6	97	20	0	20	20	1
6098	6	98	20	0	20	20	1
6099	6	99	20	0	20	20	1
6100	6	100	20	0	20	20	1
7001	7	1	0	0	0	0	0
7002	7	2	0	1000	2	1	0
7003	7	3	0	1100	2	1	0
7004	7	4	0	1200	2	1	0
7005	7	5	0	1300	2	1	0
7006	7	6	0	1400	2	1	0
7007	7	7	0	1500	2	2	0
7008	7	8	0	1600	2	2	0
7009	7	9	0	1700	2	2	0
7010	7	10	0	1800	2	2	0
7011	7	11	0	1900	2	2	0
7012	7	12	0	2000	4	3	0
7013	7	13	0	2100	4	3	0
7014	7	14	0	2200	4	3	0
7015	7	15	0	2300	4	3	0
7016	7	16	0	2400	4	3	0
7017	7	17	0	2500	4	4	0
7018	7	18	0	2600	4	4	0
7019	7	19	0	2700	4	4	0
7020	7	20	0	2800	4	4	0
7021	7	21	0	2900	4	4	0
7022	7	22	0	3000	6	5	0
7023	7	23	0	3100	6	5	0
7024	7	24	0	3200	6	5	0
7025	7	25	0	3300	6	5	0
7026	7	26	0	3400	6	5	0
7027	7	27	0	3500	6	6	0
7028	7	28	0	3600	6	6	0
7029	7	29	0	3700	6	6	0
7030	7	30	0	3800	6	6	0
7031	7	31	0	3900	6	6	0
7032	7	32	0	4000	8	7	0
7033	7	33	0	4100	8	7	0
7034	7	34	0	4200	8	7	0
7035	7	35	0	4300	8	7	0
7036	7	36	0	4400	8	7	0
7037	7	37	0	4500	8	8	0
7038	7	38	0	4600	8	8	0
7039	7	39	0	4700	8	8	0
7040	7	40	0	4800	8	8	0
7041	7	41	0	4900	8	8	0
7042	7	42	0	5000	10	9	0
7043	7	43	0	5100	10	9	0
7044	7	44	0	5200	10	9	0
7045	7	45	0	5300	10	9	0
7046	7	46	0	5400	10	9	0
7047	7	47	0	5500	10	10	0
7048	7	48	0	5600	10	10	0
7049	7	49	0	5700	10	10	0
7050	7	50	0	5800	10	10	0
7051	7	51	0	5900	10	10	0
7052	7	52	0	6000	12	11	0
7053	7	53	0	6100	12	11	0
7054	7	54	0	6200	12	11	0
7055	7	55	0	6300	12	11	0
7056	7	56	0	6400	12	11	0
7057	7	57	0	6500	12	12	0
7058	7	58	0	6600	12	12	0
7059	7	59	0	6700	12	12	0
7060	7	60	0	6800	12	12	0
7061	7	61	20	0	12	12	1
7062	7	62	20	0	14	13	1
7063	7	63	20	0	14	13	1
7064	7	64	20	0	14	13	1
7065	7	65	20	0	14	13	1
7066	7	66	20	0	14	13	1
7067	7	67	20	0	14	14	1
7068	7	68	20	0	14	14	1
7069	7	69	20	0	14	14	1
7070	7	70	20	0	14	14	1
7071	7	71	20	0	14	14	1
7072	7	72	20	0	16	15	1
7073	7	73	20	0	16	15	1
7074	7	74	20	0	16	15	1
7075	7	75	20	0	16	15	1
7076	7	76	20	0	16	15	1
7077	7	77	20	0	16	16	1
7078	7	78	20	0	16	16	1
7079	7	79	20	0	16	16	1
7080	7	80	20	0	16	16	1
7081	7	81	20	0	16	16	1
7082	7	82	20	0	18	17	1
7083	7	83	20	0	18	17	1
7084	7	84	20	0	18	17	1
7085	7	85	20	0	18	17	1
7086	7	86	20	0	18	17	1
7087	7	87	20	0	18	18	1
7088	7	88	20	0	18	18	1
7089	7	89	20	0	18	18	1
7090	7	90	20	0	18	18	1
7091	7	91	20	0	18	18	1
7092	7	92	20	0	20	19	1
7093	7	93	20	0	20	19	1
7094	7	94	20	0	20	19	1
7095	7	95	20	0	20	19	1
7096	7	96	20	0	20	19	1
7097	7	97	20	0	20	20	1
7098	7	98	20	0	20	20	1
7099	7	99	20	0	20	20	1
7100	7	100	20	0	20	20	1
7101	7	101	20	0	20	20	1
7102	7	102	20	0	22	21	1
7103	7	103	20	0	22	21	1
7104	7	104	20	0	22	21	1
7105	7	105	20	0	22	21	1
7106	7	106	20	0	22	21	1
7107	7	107	20	0	22	22	1
7108	7	108	20	0	22	22	1
7109	7	109	20	0	22	22	1
7110	7	110	20	0	22	22	1
7111	7	111	20	0	22	22	1
7112	7	112	20	0	24	23	1
7113	7	113	20	0	24	23	1
7114	7	114	20	0	24	23	1
7115	7	115	20	0	24	23	1
7116	7	116	20	0	24	23	1
7117	7	117	20	0	24	24	1
7118	7	118	20	0	24	24	1
7119	7	119	20	0	24	24	1
7120	7	120	20	0	24	24	1
8001	8	1	0	0	0	0	0
8002	8	2	0	1000	2	1	0
8003	8	3	0	1100	2	1	0
8004	8	4	0	1200	2	1	0
8005	8	5	0	1300	2	1	0
8006	8	6	0	1400	2	1	0
8007	8	7	0	1500	2	2	0
8008	8	8	0	1600	2	2	0
8009	8	9	0	1700	2	2	0
8010	8	10	0	1800	2	2	0
8011	8	11	0	1900	2	2	0
8012	8	12	0	2000	4	3	0
8013	8	13	0	2100	4	3	0
8014	8	14	0	2200	4	3	0
8015	8	15	0	2300	4	3	0
8016	8	16	0	2400	4	3	0
8017	8	17	0	2500	4	4	0
8018	8	18	0	2600	4	4	0
8019	8	19	0	2700	4	4	0
8020	8	20	0	2800	4	4	0
8021	8	21	0	2900	4	4	0
8022	8	22	0	3000	6	5	0
8023	8	23	0	3100	6	5	0
8024	8	24	0	3200	6	5	0
8025	8	25	0	3300	6	5	0
8026	8	26	0	3400	6	5	0
8027	8	27	0	3500	6	6	0
8028	8	28	0	3600	6	6	0
8029	8	29	0	3700	6	6	0
8030	8	30	0	3800	6	6	0
8031	8	31	0	3900	6	6	0
8032	8	32	0	4000	8	7	0
8033	8	33	0	4100	8	7	0
8034	8	34	0	4200	8	7	0
8035	8	35	0	4300	8	7	0
8036	8	36	0	4400	8	7	0
8037	8	37	0	4500	8	8	0
8038	8	38	0	4600	8	8	0
8039	8	39	0	4700	8	8	0
8040	8	40	0	4800	8	8	0
8041	8	41	0	4900	8	8	0
8042	8	42	0	5000	10	9	0
8043	8	43	0	5100	10	9	0
8044	8	44	0	5200	10	9	0
8045	8	45	0	5300	10	9	0
8046	8	46	0	5400	10	9	0
8047	8	47	0	5500	10	10	0
8048	8	48	0	5600	10	10	0
8049	8	49	0	5700	10	10	0
8050	8	50	0	5800	10	10	0
8051	8	51	0	5900	10	10	0
8052	8	52	0	6000	12	11	0
8053	8	53	0	6100	12	11	0
8054	8	54	0	6200	12	11	0
8055	8	55	0	6300	12	11	0
8056	8	56	0	6400	12	11	0
8057	8	57	0	6500	12	12	0
8058	8	58	0	6600	12	12	0
8059	8	59	0	6700	12	12	0
8060	8	60	0	6800	12	12	0
8061	8	61	20	0	12	12	1
8062	8	62	20	0	14	13	1
8063	8	63	20	0	14	13	1
8064	8	64	20	0	14	13	1
8065	8	65	20	0	14	13	1
8066	8	66	20	0	14	13	1
8067	8	67	20	0	14	14	1
8068	8	68	20	0	14	14	1
8069	8	69	20	0	14	14	1
8070	8	70	20	0	14	14	1
8071	8	71	20	0	14	14	1
8072	8	72	20	0	16	15	1
8073	8	73	20	0	16	15	1
8074	8	74	20	0	16	15	1
8075	8	75	20	0	16	15	1
8076	8	76	20	0	16	15	1
8077	8	77	20	0	16	16	1
8078	8	78	20	0	16	16	1
8079	8	79	20	0	16	16	1
8080	8	80	20	0	16	16	1
8081	8	81	20	0	16	16	1
8082	8	82	20	0	18	17	1
8083	8	83	20	0	18	17	1
8084	8	84	20	0	18	17	1
8085	8	85	20	0	18	17	1
8086	8	86	20	0	18	17	1
8087	8	87	20	0	18	18	1
8088	8	88	20	0	18	18	1
8089	8	89	20	0	18	18	1
8090	8	90	20	0	18	18	1
8091	8	91	20	0	18	18	1
8092	8	92	20	0	20	19	1
8093	8	93	20	0	20	19	1
8094	8	94	20	0	20	19	1
8095	8	95	20	0	20	19	1
8096	8	96	20	0	20	19	1
8097	8	97	20	0	20	20	1
8098	8	98	20	0	20	20	1
8099	8	99	20	0	20	20	1
8100	8	100	20	0	20	20	1
8101	8	101	20	0	20	20	1
8102	8	102	20	0	22	21	1
8103	8	103	20	0	22	21	1
8104	8	104	20	0	22	21	1
8105	8	105	20	0	22	21	1
8106	8	106	20	0	22	21	1
8107	8	107	20	0	22	22	1
8108	8	108	20	0	22	22	1
8109	8	109	20	0	22	22	1
8110	8	110	20	0	22	22	1
8111	8	111	20	0	22	22	1
8112	8	112	20	0	24	23	1
8113	8	113	20	0	24	23	1
8114	8	114	20	0	24	23	1
8115	8	115	20	0	24	23	1
8116	8	116	20	0	24	23	1
8117	8	117	20	0	24	24	1
8118	8	118	20	0	24	24	1
8119	8	119	20	0	24	24	1
8120	8	120	20	0	24	24	1
9001	9	1	0	0	0	0	0
9002	9	2	0	1000	2	1	0
9003	9	3	0	1100	2	1	0
9004	9	4	0	1200	2	1	0
9005	9	5	0	1300	2	1	0
9006	9	6	0	1400	2	1	0
9007	9	7	0	1500	2	2	0
9008	9	8	0	1600	2	2	0
9009	9	9	0	1700	2	2	0
9010	9	10	0	1800	2	2	0
9011	9	11	0	1900	2	2	0
9012	9	12	0	2000	4	3	0
9013	9	13	0	2100	4	3	0
9014	9	14	0	2200	4	3	0
9015	9	15	0	2300	4	3	0
9016	9	16	0	2400	4	3	0
9017	9	17	0	2500	4	4	0
9018	9	18	0	2600	4	4	0
9019	9	19	0	2700	4	4	0
9020	9	20	0	2800	4	4	0
9021	9	21	0	2900	4	4	0
9022	9	22	0	3000	6	5	0
9023	9	23	0	3100	6	5	0
9024	9	24	0	3200	6	5	0
9025	9	25	0	3300	6	5	0
9026	9	26	0	3400	6	5	0
9027	9	27	0	3500	6	6	0
9028	9	28	0	3600	6	6	0
9029	9	29	0	3700	6	6	0
9030	9	30	0	3800	6	6	0
9031	9	31	0	3900	6	6	0
9032	9	32	0	4000	8	7	0
